id,value
100009425_1,1721
100009425_2,1618
100009425_3,1721
100009425_4,1734
100009425_5,1880
100009425_6,1509
100009425_7,1487
100009426_1,98
100009426_2,94
100009426_3,95
100009426_4,98
100009426_5,116
100009426_6,72
100009426_7,84
100009427_1,3733
100009427_2,3505
100009427_3,3635
100009427_4,3398
100009427_5,3742.5
100009427_6,1914
100009427_7,1954
100009428_1,3043
100009428_2,2769
100009428_3,2948
100009428_4,2661
100009428_5,3000
100009428_6,1658
100009428_7,1760
100010017_1,322
100010017_2,312
100010017_3,319
100010017_4,284
100010017_5,311
100010017_6,190
100010017_7,209
100010018_1,1264
100010018_2,1151
100010018_3,1222
100010018_4,1083
100010018_5,1272.5
100010018_6,753
100010018_7,876
100010019_1,1452
100010019_2,1441
100010019_3,1491
100010019_4,1283
100010019_5,1624.5
100010019_6,1192
100010019_7,1337
100010022_1,1117
100010022_2,998
100010022_3,1046
100010022_4,863
100010022_5,957.5
100010022_6,325
100010022_7,375
100047029_1,3211
100047029_2,2853
100047029_3,3059
100047029_4,2759
100047029_5,3165
100047029_6,1241
100047029_7,1454
100057316_1,2882
100057316_2,3009
100057316_3,3067
100057316_4,2983
100057316_5,3219
100057316_6,2396
100057316_7,2410
100057319_1,1287
100057319_2,1269
100057319_3,1296
100057319_4,1319
100057319_5,1445.5
100057319_6,1355
100057319_7,1443
100057320_1,1056
100057320_2,1036
100057320_3,1108
100057320_4,1026
100057320_5,1207
100057320_6,1024
100057320_7,1106
101009425_1,832
101009425_2,821
101009425_3,848
101009425_4,883
101009425_5,939.5
101009425_6,773
101009425_7,785
101009426_1,46
101009426_2,41
101009426_3,46
101009426_4,48
101009426_5,53
101009426_6,34
101009426_7,46
101009427_1,1880
101009427_2,1748
101009427_3,1832
101009427_4,1694
101009427_5,1862.5
101009427_6,988
101009427_7,1020
101009428_1,1552
101009428_2,1394
101009428_3,1501
101009428_4,1357
101009428_5,1512.5
101009428_6,811
101009428_7,924
101010017_1,119
101010017_2,119
101010017_3,123
101010017_4,103
101010017_5,114
101010017_6,79
101010017_7,99
101010018_1,639
101010018_2,605
101010018_3,638
101010018_4,542
101010018_5,679.5
101010018_6,384
101010018_7,444
101010019_1,705
101010019_2,708
101010019_3,723
101010019_4,606
101010019_5,772.5
101010019_6,585
101010019_7,600
101010022_1,517
101010022_2,441
101010022_3,465
101010022_4,391
101010022_5,445.5
101010022_6,156
101010022_7,181
101057316_1,2611
101057316_2,2701
101057316_3,2791
101057316_4,2693
101057316_5,2910.5
101057316_6,2119
101057316_7,2134
101057319_1,1121
101057319_2,1088
101057319_3,1130
101057319_4,1138
101057319_5,1235.5
101057319_6,1143
101057319_7,1245
101057320_1,918
101057320_2,907
101057320_3,968
101057320_4,880
101057320_5,1024.5
101057320_6,866
101057320_7,947
102009425_1,875
102009425_2,826
102009425_3,859
102009425_4,849
102009425_5,932.5
102009425_6,736
102009425_7,714
102009426_1,53
102009426_2,59
102009426_3,48
102009426_4,45
102009426_5,60
102009426_6,38
102009426_7,38
102009427_1,1853
102009427_2,1690
102009427_3,1803
102009427_4,1667
102009427_5,1858.5
102009427_6,926
102009427_7,934
102009428_1,1483
102009428_2,1330
102009428_3,1436
102009428_4,1304
102009428_5,1487.5
102009428_6,847
102009428_7,836
102010017_1,200
102010017_2,192
102010017_3,195
102010017_4,187
102010017_5,201.5
102010017_6,107
102010017_7,118
102010018_1,625
102010018_2,545
102010018_3,584
102010018_4,532
102010018_5,593
102010018_6,369
102010018_7,432
102010019_1,747
102010019_2,733
102010019_3,768
102010019_4,677
102010019_5,852
102010019_6,607
102010019_7,737
102010022_1,600
102010022_2,536
102010022_3,559
102010022_4,472
102010022_5,512
102010022_6,169
102010022_7,194
102057316_1,271
102057316_2,308
102057316_3,291
102057316_4,307
102057316_5,305.5
102057316_6,277
102057316_7,276
102057319_1,169
102057319_2,186
102057319_3,176
102057319_4,181
102057319_5,210
102057319_6,207
102057319_7,212
102057320_1,148
102057320_2,130
102057320_3,148
102057320_4,164
102057320_5,182.5
102057320_6,180
102057320_7,166
